count,delete
4,628
3,841
1,789
2,784
8,636
7,583
6,719
9,965
5,764
14,586
12,824
13,872
10,795
11,786
15,768
18,670
19,901
16,653
17,728
23,563
20,782
22,626
24,587
21,761
26,794
28,1011
25,867
29,873
27,577
30,794
34,847
32,786
31,788
33,792
37,563
36,783
39,752
35,577
38,573
43,707
41,593
40,598
42,895
44,738
48,699
49,842
46,760
47,835
45,597
53,646
51,642
54,575
50,846
52,592
59,738
58,723
56,834
57,772
55,828
63,784
62,580
60,723
64,801
61,758
69,613
65,659
66,848
68,643
67,762
71,544
72,809
74,660
70,565
73,780
77,757
78,769
76,612
75,762
79,721
81,758
83,574
80,866
82,638
84,762
88,691
85,682
86,785
89,800
87,760
92,863
90,1023
94,837
93,563
91,642
95,794
98,636
96,571
97,589
99,788
100,972
