count,delete
3,74
2,31
1,17
4,14
8,225
6,216
7,123
5,84
9,36
12,19
14,70
10,100
13,67
11,10
19,16
18,68
16,14
17,95
15,16
20,20
24,76
21,24
23,62
22,11
29,15
26,74
27,23
28,69
25,14
34,18
30,122
31,39
32,65
33,11
37,17
39,14
38,11
35,12
36,14
44,12
43,105
42,41
40,10
41,9
47,18
49,36
46,12
48,64
45,13
50,85
51,68
53,12
54,116
52,15
58,15
55,151
56,104
57,129
59,11
60,17
61,61
64,11
62,11
63,10
69,24
67,69
65,13
66,73
68,12
73,20
70,132
71,12
72,65
74,11
79,17
76,65
75,13
78,156
77,25
82,69
84,59
83,12
80,110
81,16
89,11
88,171
87,126
85,67
86,16
92,19
91,159
93,15
94,59
90,11
95,13
99,112
96,122
98,71
97,15
104,119
102,66
103,16
101,63
100,14
109,22
106,213
108,127
105,74
107,11
112,184
110,239
111,128
113,76
114,14
116,15
118,17
119,120
117,67
115,14
120,71
121,13
123,65
124,77
122,14
129,13
127,111
128,20
126,81
125,12
133,62
134,65
132,17
131,10
130,14
135,15
136,373
137,318
139,235
138,15
144,12
142,126
140,65
141,62
143,11
147,70
146,114
145,120
148,70
149,16
150,71
153,70
154,13
152,13
151,9
159,14
157,14
155,12
156,12
158,13
161,64
163,129
164,130
160,77
162,15
168,125
165,73
169,21
167,64
166,11
171,16
173,64
172,12
170,392
174,151
176,13
177,68
178,116
175,66
179,12
182,13
180,71
183,12
181,167
184,16
185,13
187,65
189,14
188,12
186,10
191,14
193,17
190,67
192,11
194,10
199,14
197,467
196,287
195,168
198,16
200,76
204,14
201,12
203,10
202,15
209,14
207,122
206,14
205,69
208,10
213,15
212,243
214,400
210,257
211,48
215,13
219,68
216,15
217,10
218,62
224,14
222,184
220,122
223,16
221,71
229,12
225,114
227,103
226,157
228,17
230,125
234,69
233,67
231,12
232,10
235,119
238,15
236,70
237,64
239,12
241,63
243,78
242,13
240,12
244,14
249,203
245,25
248,62
246,58
247,11
250,15
254,12
251,83
252,137
253,10
255,13
256,127
257,70
259,69
258,10
264,15
263,287
261,148
260,61
262,12
266,60
269,61
265,11
268,76
267,13
274,11
273,15
272,70
271,66
270,11
279,11
277,12
275,11
278,104
276,16
280,164
283,134
284,80
282,61
281,10
289,12
286,76
287,13
285,10
288,64
293,21
294,118
290,62
292,11
291,10
295,13
297,57
299,11
298,130
296,16
301,133
304,68
300,69
303,62
302,16
306,13
309,12
308,119
305,65
307,12
312,72
314,69
311,63
310,13
313,10
315,16
319,63
316,14
318,253
317,17
321,192
324,260
320,130
322,76
323,13
329,12
327,12
325,11
326,60
328,12
334,18
330,117
333,174
331,66
332,12
339,11
336,12
337,68
335,13
338,16
343,352
341,121
340,14
344,73
342,200
349,11
346,10
348,12
345,62
347,10
352,16
353,11
354,64
350,67
351,11
355,76
357,11
356,13
359,64
358,13
363,17
364,13
362,23
361,26
360,231
369,29
367,11
365,72
366,12
368,10
374,67
371,14
372,57
370,12
373,9
379,79
378,14
376,11
375,65
377,11
380,15
383,64
381,14
382,75
384,12
389,13
385,16
386,599
388,377
387,13
390,186
392,67
391,130
394,67
393,10
399,76
395,13
397,108
396,63
398,13
404,13
400,124
401,72
402,72
403,12
409,11
406,61
405,12
408,10
407,9
413,14
414,70
412,11
411,60
410,14
418,302
416,125
415,46
417,14
419,10
420,66
423,14
421,57
422,11
424,10
428,15
429,62
425,73
427,23
426,12
432,16
430,127
433,62
434,65
431,10
436,84
435,18
439,10
437,67
438,12
443,15
444,12
442,757
440,158
441,29
449,12
446,17
445,301
447,211
448,30
451,396
453,267
454,130
450,16
452,71
456,16
459,12
455,64
458,11
457,11
461,69
460,59
462,12
464,63
463,10
469,61
466,15
465,11
467,11
468,65
473,13
470,13
472,112
471,63
474,13
476,25
478,529
477,134
479,268
475,28
484,16
480,252
481,280
482,254
483,30
489,24
485,14
487,18
486,58
488,11
494,15
490,72
491,13
493,10
492,14
496,16
499,13
495,59
497,60
498,10
500,15
504,67
501,125
503,77
502,13
506,70
505,12
509,10
508,16
507,14
511,13
510,740
514,227
512,11
513,86
515,22
517,15
519,170
518,23
516,18
522,237
521,173
524,14
520,19
523,73
527,18
526,16
525,125
528,11
529,66
533,71
534,18
532,12
530,65
531,13
539,12
535,13
537,67
536,60
538,11
544,17
542,66
541,14
543,72
540,10
548,18
549,254
547,1034
546,16
545,89
550,12
554,84
551,11
553,64
552,12
557,63
558,16
559,11
556,14
555,80
564,21
561,16
560,130
563,64
562,16
569,12
565,81
567,67
568,61
566,10
574,17
571,77
570,929
572,16
573,10
579,11
578,13
575,80
577,133
576,17
582,74
581,17
584,14
580,13
583,67
589,13
586,12
588,13
585,11
587,65
592,23
594,120
590,215
591,68
593,14
595,66
599,13
596,78
598,14
597,10
602,16
604,478
601,275
603,35
600,28
605,163
607,90
609,12
606,11
608,84
610,178
614,109
613,249
611,187
612,46
619,615
616,329
615,153
617,73
618,12
622,132
624,71
621,77
620,13
623,10
629,13
628,12
625,13
627,10
626,73
634,62
631,124
630,12
633,18
632,17
639,14
637,14
635,115
638,67
636,15
640,192
643,122
641,124
644,72
642,13
646,24
648,1168
649,1011
647,24
645,162
650,161
654,88
653,15
652,1088
651,35
659,89
655,163
656,86
657,14
658,23
664,16
660,91
662,15
663,162
661,24
666,243
669,405
667,141
665,71
668,20
674,14
672,13
670,14
673,78
671,22
677,13
676,69
679,13
675,65
678,10
683,69
682,15
684,1077
681,20
680,90
689,129
685,78
687,18
686,58
688,13
690,13
694,60
691,13
693,62
692,11
696,67
698,15
699,12
695,1013
697,37
703,15
701,84
700,158
702,13
704,10
