count,delete
18,31
8,117
10,193
3,865
5,864
7,979
9,448
12,448
14,447
11,447
1,446
16,446
17,339
15,338
4,90
6,86
13,93
19,93
2,12
20,40
22,39
30,35
21,40
28,39
25,40
24,41
31,39
26,40
29,39
23,43
27,40
37,39
38,39
33,40
36,42
39,41
34,42
32,44
35,43
41,32
43,32
40,33
44,33
42,34
46,34
45,34
54,33
49,35
47,39
53,38
55,41
52,42
59,40
57,41
58,41
56,41
51,42
50,42
48,43
60,36
65,35
61,39
62,39
63,39
64,39
67,38
70,38
66,38
69,38
68,38
79,38
78,38
77,38
74,42
75,42
71,42
73,42
72,42
76,41
80,41
82,42
85,42
87,41
84,42
83,45
86,44
81,45
89,44
96,42
91,43
88,44
90,46
92,45
94,45
95,47
99,46
97,46
93,47
98,46
100,35
110,34
104,36
105,38
101,38
102,38
103,39
106,39
109,40
108,40
107,40
114,39
117,40
118,40
115,43
116,43
119,43
111,44
112,44
113,44
120,31
127,31
121,38
124,38
128,37
123,38
125,38
122,38
126,38
136,38
130,42
129,42
139,40
135,41
132,41
134,41
131,42
137,41
133,41
138,41
143,35
140,36
145,38
141,39
146,38
144,42
147,42
142,43
151,41
152,43
153,43
149,44
150,43
148,44
154,44
159,45
158,45
156,45
157,45
155,45
165,29
160,31
163,32
161,35
164,36
162,36
174,34
175,35
166,37
173,36
169,37
176,38
167,41
179,39
177,40
172,41
171,41
170,41
178,39
168,42
181,40
186,42
182,43
188,42
184,42
180,43
189,41
193,41
187,45
192,44
185,45
190,44
191,44
183,46
199,45
198,45
195,45
196,46
194,47
197,46
202,33
203,33
205,33
204,34
211,33
201,35
212,35
208,38
206,38
210,37
207,38
209,38
200,40
217,37
216,39
215,40
213,42
219,42
218,42
214,42
220,32
224,36
228,36
227,38
221,39
223,39
222,39
225,38
231,42
226,43
230,42
237,41
238,41
235,41
232,42
233,42
239,41
234,41
236,41
229,43
241,34
240,34
245,34
251,36
249,36
248,39
242,41
247,39
246,40
244,40
252,38
243,41
257,37
259,37
250,41
254,40
256,41
255,41
253,42
258,41
273,34
265,37
260,38
269,39
262,40
263,40
267,42
271,41
268,42
266,42
270,41
272,41
261,43
264,43
278,41
276,41
279,42
277,43
274,45
275,45
280,34
297,39
294,41
281,45
284,44
283,44
282,44
299,41
286,44
295,42
285,44
292,46
287,46
290,47
288,47
293,46
289,47
298,46
296,46
291,47
306,28
303,31
305,32
309,32
304,36
307,35
311,35
302,37
301,37
300,37
312,35
316,36
314,36
310,39
319,37
318,37
313,38
315,38
308,40
317,38
320,29
323,33
328,35
321,37
322,37
324,36
325,37
332,36
336,38
333,39
331,39
329,39
335,38
337,38
327,40
326,40
334,40
330,41
339,39
338,40
341,31
345,32
340,34
349,35
343,36
347,35
342,36
346,38
348,38
352,37
358,36
350,37
344,39
353,37
351,37
354,40
359,39
357,39
355,40
356,39
360,32
367,31
368,32
371,32
366,35
365,36
370,35
375,34
373,36
363,41
362,41
376,39
361,43
369,41
364,42
372,40
378,39
374,40
379,40
377,40
385,30
381,31
380,33
387,31
383,33
382,35
386,35
384,35
390,34
388,37
389,37
396,36
392,36
395,36
393,36
391,37
394,36
398,37
397,38
399,37
417,30
415,35
406,37
401,38
402,40
407,39
411,38
405,39
412,38
413,42
418,41
410,42
403,43
414,42
404,43
416,41
400,44
408,43
409,42
419,41
421,29
423,31
430,31
422,34
426,33
431,32
420,35
432,32
424,34
425,38
433,37
436,37
435,37
428,38
429,38
427,38
439,36
434,38
437,38
438,38
445,32
440,33
441,35
442,34
444,34
443,34
453,33
456,36
459,35
448,37
449,37
450,37
451,37
452,37
446,38
447,37
457,38
455,38
454,39
458,39
460,35
465,35
461,37
474,39
479,41
463,44
464,43
468,43
467,43
469,42
466,43
475,41
473,42
462,47
472,45
470,45
471,45
476,44
478,44
477,45
480,33
490,33
488,33
487,36
483,40
484,39
481,40
482,44
491,40
485,41
489,41
497,39
498,39
499,39
486,41
496,40
494,40
495,40
492,40
493,40
500,32
513,34
512,36
516,35
505,38
510,37
511,40
506,41
509,40
501,41
507,40
504,41
503,42
514,40
502,42
517,41
508,42
515,42
518,42
519,42
520,34
522,34
523,36
521,36
526,37
525,37
524,37
527,38
528,37
534,39
536,40
530,41
533,43
537,42
532,43
535,42
531,43
529,43
538,43
539,42
551,32
540,34
541,36
542,40
549,39
548,39
543,40
544,40
547,39
550,39
546,39
559,37
545,40
555,39
558,41
553,42
552,42
554,42
557,41
556,43
560,33
567,34
564,36
563,37
565,37
561,38
562,38
575,39
566,41
570,40
574,39
576,39
573,40
569,40
568,40
571,40
579,39
577,41
572,42
578,41
580,31
584,32
582,32
583,33
581,33
585,33
589,34
587,35
586,36
590,36
588,36
591,38
595,37
596,37
599,36
594,39
593,39
592,39
597,39
598,39
600,30
610,33
609,33
603,34
605,35
601,38
606,37
614,39
602,41
607,40
604,41
611,40
608,40
612,42
615,41
619,41
613,42
618,41
616,41
617,41
620,40
634,37
625,41
626,41
623,42
622,44
627,43
621,45
629,43
630,44
631,44
633,43
628,44
624,47
632,45
638,44
636,44
635,46
639,45
637,46
640,30
643,29
644,30
645,30
641,31
647,34
642,35
648,36
646,37
651,36
649,36
650,36
654,38
652,40
655,40
653,40
656,41
659,41
657,41
658,41
663,33
667,35
660,36
662,36
670,35
673,38
661,40
665,40
672,39
664,40
669,39
666,39
668,39
671,39
677,38
675,38
676,38
679,37
678,37
674,41
680,30
684,29
683,31
688,30
687,30
691,32
686,35
689,34
682,35
685,35
693,33
692,34
681,35
695,36
694,36
699,37
698,38
690,39
697,38
696,39
700,31
702,34
701,34
705,34
704,35
703,35
709,35
708,36
711,36
713,36
719,35
706,37
710,39
716,38
712,38
717,40
718,39
714,40
715,40
707,41
720,31
726,31
725,32
722,33
723,33
727,33
724,34
721,36
730,36
734,38
729,40
731,41
737,42
732,43
728,44
738,42
735,44
739,43
736,44
733,44
744,31
742,33
740,33
743,35
752,33
741,36
748,35
747,35
749,35
745,35
746,43
751,42
750,42
755,42
753,42
756,42
757,42
758,42
759,42
754,43
760,28
768,31
767,32
765,34
761,36
766,36
763,36
773,34
764,40
774,40
778,40
769,42
779,42
762,46
775,43
777,43
772,43
771,44
770,44
776,44
780,28
786,30
790,33
783,34
784,34
782,34
781,34
789,33
795,32
785,33
788,34
787,35
791,36
794,36
792,36
793,36
799,36
798,37
797,37
796,37
800,31
810,32
808,32
805,33
802,34
801,36
803,36
806,35
804,36
812,34
807,35
811,38
813,38
809,39
818,38
814,40
819,39
817,40
815,40
816,40
820,32
821,34
832,34
831,38
823,40
824,39
837,38
835,39
822,41
834,39
828,40
836,39
829,40
826,40
827,40
838,38
839,38
830,40
833,39
825,42
840,31
841,33
844,33
842,35
843,34
846,35
849,36
859,37
857,39
845,41
851,40
854,40
848,41
855,40
847,42
858,41
853,43
852,43
856,42
850,43
860,31
872,32
868,34
863,35
866,36
879,34
862,37
877,34
